artist,genres,popularity,followers,artist_id
Olivia O'Brien,"['alt z', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop']",73,1721687,1QRj3hoop9Mv5VvHQkwPEp
MARINA,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",77,3192471,6CwfuxIqcltXDGjfZsMd9A
Tove Lo,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",77,2902679,4NHQUGzhtTLFvgF5SZesLK
Rhys Lewis,"['neo mellow', 'pop', 'pop rock', 'uk pop']",63,288355,4T2k9bgIoC8bbqjqiEl9vZ
Declan J Donovan,['uk pop'],63,119380,6bh228LGC3eAzbplPWV02r
James Bay,"['modern rock', 'neo mellow', 'pop', 'pop rock']",76,3508826,4EzkuveR9pLvDVFNx6foYD
Gavin James,"['australian pop', 'irish pop', 'neo mellow', 'pop', 'pop rock', 'viral pop']",67,613434,25tMQOrIU4LlUo6Sv8v5SE
Dermot Kennedy,"['folk-pop', 'irish pop', 'pop']",78,1018403,5KNNVgR6LBIABRIomyCwKJ
Anson Seabra,"['alt z', 'gen z singer-songwriter', 'pop']",72,678821,2jHp7gQArCQrlMvdrIVFCg
Calum Scott,"['neo mellow', 'pop']",81,3785205,6ydoSd3N2mwgwBHtF6K7eX
AJ Mitchell,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'social media pop']",69,677670,6dn6x1XOng3LOAnfTjUn77
Tom Walker,"['indie anthem-folk', 'modern rock', 'pop', 'uk pop']",70,884905,7z2avKuuiMAT4XZJFv8Rvh
Maisie Peters,"['alt z', 'electropop', 'indie pop', 'pop', 'uk pop']",67,320285,2RVvqRBon9NgaGXKfywDSs
Ruel,"['alt z', 'australian alternative pop', 'dance pop', 'electropop', 'pop', 'social media pop']",70,1603125,5xkAtLTf309LAGZTbvULBn
Michael Schulte,"['german pop', 'pop']",67,246404,21aa4pj9BvbFB2iT8kRpnq
Sasha Alex Sloan,"['alt z', 'electropop', 'pop']",75,994863,4xnihxcoXWK3UqryOSnbw5
Luke Hemmings,['pop'],61,247203,4UFShyUQuA8dguoZrqX0jQ
Louis Tomlinson,"['pop', 'post-teen pop']",71,5625039,57WHJIHrjOE3iAxpihhMnp
Declan McKenna,"['indie pop', 'modern alternative rock', 'modern rock', 'rock']",65,764543,2D4FOOOtWycb3Aw9nY5n3c
Brytiago,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",77,4379828,00XhexlJEXQstHimpZN910
Bryant Myers,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",79,5852020,6w9ToX5slZ4uIdmD17hJ3c
Miky Woodz,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",75,2380430,1pf0MPKfKdvS8J779mS1Ay
Lary Over,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",70,3907231,1jSjfSgDjedJdi5MoyRu78
Casper Magico,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",74,1558078,1fux65HMCBvfJHqlBc4Nno
Amenazzy,"['dominican pop', 'latin', 'latin hip hop', 'rap dominicano', 'reggaeton', 'reggaeton flow', 'trap latino']",70,1749290,6kq4GHwUcUojGIu0ziSNXf
Noriel,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",76,5215220,3RtNN1VnooWEn3KQk03DUL
Lauren Jauregui,"['pop', 'post-teen pop', 'r&b']",63,1144573,3J0BpFVUc9LeOIVeN5uNhU
Pia Mia,"['dance pop', 'pop', 'pop r&b', 'post-teen pop', 'r&b', 'social media pop', 'urban contemporary']",65,1628358,1BhWF9W2PngtPSyobKg0rP
Call Me Karizma,"['alt z', 'minnesota hip hop', 'modern alternative rock', 'modern rock', 'pop rap', 'sad rap', 'social media pop']",64,188475,5fENlrINIVP0gJOtKxvORt
mansionz,['pop rap'],59,287980,2o8lOQRjzsSC8UdbNN88HN
Quinn XCII,"['electropop', 'indie pop rap', 'pop', 'pop rap']",73,673321,3ApUX1o6oSz321MMECyIYd
Goody Grace,"['pop rap', 'sad rap']",62,108722,1iH2Yx2Ea0kZ0zKI3Nlk30
Jon Bellion,['pop rap'],72,1251436,50JJSqHUf2RQ9xsHs0KMHg
FLETCHER,"['alt z', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop', 'social media pop']",71,542259,5qa31A9HySw3T7MKWI9bGg
Marc E. Bassy,"['alternative r&b', 'pop', 'pop rap', 'r&b']",70,379636,3tQx1LPXbsYjE9VwN1Peaa
PLVTINUM,"['alt z', 'pop', 'social media pop']",65,170047,4V2pR2iSd1g0RZCglrP3jn
MOD SUN,"['minnesota hip hop', 'pop punk', 'pop rap']",65,214894,3u2R8st1bb6zfBqNWceRXG
